block_number,transaction_hash,pool_id,router_address,original_sender,is_contract_sender,amount0,amount1,sqrt_price_x96,liquidity,tick,fee,timestamp
25428824,327d5a847e55636ac85e6645a9cfaded7015f47ab4d1a8266519f1f49e9f6a60,96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a,0x6fF5693b99212Da76ad316178A184AB56D299b43,0x4423B0D6955aF39B48cf215577a79Ce574299D3f,False,-100000000000000,319782,4458936925670369649410795,562108584583,-195714,500,1737646995
25428912,ce7b14983fe54891eca61b10af4507c47c317bead4940a9feaabb6494599a35c,96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a,0x6fF5693b99212Da76ad316178A184AB56D299b43,0x8796207d877194d97a2c360c041f13887896FC79,False,-1227258843759687,3460304,3971213383154458723007811,562108584583,-198031,500,1737647171
25430264,94c603fd066e9934501fc12ca358db5576a70a5640f7f012277e9a73239b3761,96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a,0x6fF5693b99212Da76ad316178A184AB56D299b43,0x8796207d877194d97a2c360c041f13887896FC79,False,-1524905480991414,4299621,3915942997449835665306447,562108584583,-198311,500,1737649875
25436921,bd258f85b125055a644c83889d4e112046b1da18e0653ee0316e16edb3014188,96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a,0x6fF5693b99212Da76ad316178A184AB56D299b43,0x8796207d877194d97a2c360c041f13887896FC79,False,-1549273494544541,4827497,4329024240102210218796284,1998170377863,-196305,500,1737663189
25436938,3affd81ff31a38b1d3393a8bd724711d5f6f041503b11e61379d2cbf9f92717c,96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a,0x6fF5693b99212Da76ad316178A184AB56D299b43,0x0ebcF70f7e25D21338E92dE2cDd1656aACd14fab,False,-1000000000000000,3136097,4376217461506553646535905,1998170377863,-196088,500,1737663223
25437577,ddf283a233cc279ba64846dbac837b77c66afaef29ac7b25564887977543b8a7,96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a,0x6fF5693b99212Da76ad316178A184AB56D299b43,0x38BF9F138b1aa65653F19088Dde987A3904A995f,False,-3359729160583574,10025000,4125485654093087898507105,924706367710,-197268,500,1737664501
25452211,4dcd2b42adb781048230074bd62f8354abf1b49ef4a44b20e4ca79e566f7bec0,96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a,0x6fF5693b99212Da76ad316178A184AB56D299b43,0xc7C6b256ea29207B6E0b05FDaFAEc8B667615BD8,False,-100000000000000,330293,4548590755125236723692568,2223308845952,-195316,500,1737693769
25608828,2bd79be1b151fe726a31775b0b2b66516884691c1ea6d331e409054bdbeccf3f,96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a,0x6fF5693b99212Da76ad316178A184AB56D299b43,0x545a7C484B06c5E3151e544983eeF7563730afeC,False,-325338715755200,999496,4377323173725233777527356,2605834224364,-196083,500,1738007003
25608892,e1cc0ad7655daf006ce408d0bc981ced7c01132fe71c79dc533e328c51274091,96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a,0x6fF5693b99212Da76ad316178A184AB56D299b43,0x545a7C484B06c5E3151e544983eeF7563730afeC,False,-325198309625396,985386,4347363349462202537058052,2605834224364,-196221,500,1738007131
25649314,b3a4e57fbcb592495e87dc22ff69dd27aaffd7b69f4b30151e93bb56377a5d9c,96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a,0x6fF5693b99212Da76ad316178A184AB56D299b43,0xC4Ae81821A275E085E49DE426e62B1B1F729389f,False,-630884875123599,1984669,4414782005100015996631550,2605834224364,-195913,500,1738087975
